Group, Number of Columns, Mean Absolute Correlation
original, 107, 0.1069
wavelet-LLH, 93, 0.1025
wavelet-LHL, 93, 0.0630
wavelet-LHH, 93, 0.0766
wavelet-HLL, 93, 0.0816
wavelet-HLH, 93, 0.0723
wavelet-HHL, 93, 0.0686
wavelet-HHH, 93, 0.0858
wavelet-LLL, 93, 0.1159
log-sigma-1-0, 93, 0.1047
log-sigma-2-0, 93, 0.0996
log-sigma-3-0, 93, 0.1339
log-sigma-4-0, 93, 0.1152
log-sigma-5-0, 93, 0.0517
square_, 93, 0.0637
squareroot, 93, 0.1119
logarithm, 93, 0.0663
exponential, 93, 0.0426
gradient, 93, 0.1488
lbp-2D, 44, 0.1427
lbp-3D-k, 93, 0.0689
lbp-3D-m1, 44, 0.1411
lbp-3D-m2, 46, 0.1413

lbp-3D-k, 93, 0.0689
wavelet-LHL, 93, 0.0630
wavelet-LHH, 93, 0.0766
wavelet-HLH, 93, 0.0723
wavelet-HHL, 93, 0.0686
log-sigma-5-0, 93, 0.0517
square_, 93, 0.0637
exponential, 93, 0.0426



Group: original
original_shape_Elongation, -0.0779
original_shape_Flatness, 0.0236
original_shape_LeastAxisLength, 0.0068
original_shape_MajorAxisLength, -0.0346
original_shape_Maximum2DDiameterColumn, -0.0719
original_shape_Maximum2DDiameterRow, -0.0585
original_shape_Maximum2DDiameterSlice, -0.1175
original_shape_Maximum3DDiameter, -0.0616
original_shape_MeshVolume, -0.1740
original_shape_MinorAxisLength, -0.1232
original_shape_Sphericity, -0.1020
original_shape_SurfaceArea, -0.1441
original_shape_SurfaceVolumeRatio, 0.1404
original_shape_VoxelVolume, -0.1736
original_firstorder_10Percentile, -0.1419
original_firstorder_90Percentile, -0.0175
original_firstorder_Energy, -0.1889
original_firstorder_Entropy, 0.1516
original_firstorder_InterquartileRange, 0.1519
original_firstorder_Kurtosis, -0.0173
original_firstorder_Maximum, 0.0259
original_firstorder_MeanAbsoluteDeviation, 0.1505
original_firstorder_Mean, -0.1103
original_firstorder_Median, -0.0738
original_firstorder_Minimum, -0.0920
original_firstorder_Range, 0.0833
original_firstorder_RobustMeanAbsoluteDeviation, 0.1430
original_firstorder_RootMeanSquared, -0.0982
original_firstorder_Skewness, -0.1281
